table_name,django_app,scope,model_class,n_fields,source_file,source_lines
VideoUploadConfig,contentstore,cms,VideoUploadConfig,1,cms/djangoapps/contentstore/models.py,25-39
BackfillCourseTabsConfig,contentstore,cms,BackfillCourseTabsConfig,2,cms/djangoapps/contentstore/models.py,42-60
CleanStaleCertificateAvailabilityDatesConfig,contentstore,cms,CleanStaleCertificateAvailabilityDatesConfig,1,cms/djangoapps/contentstore/models.py,63-80
EntityLinkBase,contentstore,cms,EntityLinkBase,6,cms/djangoapps/contentstore/models.py,83-135
ComponentLink,contentstore,cms,ComponentLink,2,cms/djangoapps/contentstore/models.py,138-306
ContainerLink,contentstore,cms,ContainerLink,2,cms/djangoapps/contentstore/models.py,309-542
LearningContextLinksStatus,contentstore,cms,LearningContextLinksStatus,2,cms/djangoapps/contentstore/models.py,555-613
CourseCreator,course_creators,cms,CourseCreator,6,cms/djangoapps/course_creators/models.py,26-60
ModulestoreSource,modulestore_migrator,cms,ModulestoreSource,2,cms/djangoapps/modulestore_migrator/models.py,25-62
ModulestoreMigration,modulestore_migrator,cms,ModulestoreMigration,11,cms/djangoapps/modulestore_migrator/models.py,65-173
ModulestoreBlockSource,modulestore_migrator,cms,ModulestoreBlockSource,3,cms/djangoapps/modulestore_migrator/models.py,176-206
ModulestoreBlockMigration,modulestore_migrator,cms,ModulestoreBlockMigration,5,cms/djangoapps/modulestore_migrator/models.py,209-267
StudioConfig,xblock_config,cms,StudioConfig,1,cms/djangoapps/xblock_config/models.py,11-28
CourseActionState,course_action_state,common,CourseActionState,7,common/djangoapps/course_action_state/models.py,20-75
CourseActionUIState,course_action_state,common,CourseActionUIState,2,common/djangoapps/course_action_state/models.py,78-98
CourseRerunState,course_action_state,common,CourseRerunState,2,common/djangoapps/course_action_state/models.py,102-125
CourseMode,course_modes,common,CourseMode,14,common/djangoapps/course_modes/models.py,44-863
CourseModesArchive,course_modes,common,CourseModesArchive,8,common/djangoapps/course_modes/models.py,933-968
CourseModeExpirationConfig,course_modes,common,CourseModeExpirationConfig,1,common/djangoapps/course_modes/models.py,971-989
CourseEntitlementPolicy,entitlements,common,CourseEntitlementPolicy,5,common/djangoapps/entitlements/models.py,29-151
CourseEntitlement,entitlements,common,CourseEntitlement,9,common/djangoapps/entitlements/models.py,154-462
CourseEntitlementSupportDetail,entitlements,common,CourseEntitlementSupportDetail,6,common/djangoapps/entitlements/models.py,465-531
SplitModulestoreCourseIndex,split_modulestore_django,common,SplitModulestoreCourseIndex,11,common/djangoapps/split_modulestore_django/models.py,17-177
AssetBaseUrlConfig,static_replace,common,AssetBaseUrlConfig,1,common/djangoapps/static_replace/models.py,10-34
AssetExcludedExtensionsConfig,static_replace,common,AssetExcludedExtensionsConfig,1,common/djangoapps/static_replace/models.py,37-63
GlobalStatusMessage,status,common,GlobalStatusMessage,1,common/djangoapps/status/models.py,16-53
CourseMessage,status,common,CourseMessage,3,common/djangoapps/status/models.py,56-70
CourseEnrollment,student,common,CourseEnrollment,5,common/djangoapps/student/models/course_enrollment.py,294-1473
FBEEnrollmentExclusion,student,common,FBEEnrollmentExclusion,1,common/djangoapps/student/models/course_enrollment.py,1476-1488
ManualEnrollmentAudit,student,common,ManualEnrollmentAudit,7,common/djangoapps/student/models/course_enrollment.py,1518-1589
CourseEnrollmentAllowed,student,common,CourseEnrollmentAllowed,5,common/djangoapps/student/models/course_enrollment.py,1592-1647
CourseEnrollmentAttribute,student,common,CourseEnrollmentAttribute,4,common/djangoapps/student/models/course_enrollment.py,1650-1721
EnrollmentRefundConfiguration,student,common,EnrollmentRefundConfiguration,1,common/djangoapps/student/models/course_enrollment.py,1724-1754
BulkUnenrollConfiguration,student,common,BulkUnenrollConfiguration,1,common/djangoapps/student/models/course_enrollment.py,1757-1766
BulkChangeEnrollmentConfiguration,student,common,BulkChangeEnrollmentConfiguration,1,common/djangoapps/student/models/course_enrollment.py,1769-1780
CourseEnrollmentCelebration,student,common,CourseEnrollmentCelebration,3,common/djangoapps/student/models/course_enrollment.py,1783-1853
AnonymousUserId,student,common,AnonymousUserId,3,common/djangoapps/student/models/user.py,80-96
UserStanding,student,common,UserStanding,4,common/djangoapps/student/models/user.py,384-405
UserProfile,student,common,UserProfile,17,common/djangoapps/student/models/user.py,408-678
UserSignupSource,student,common,UserSignupSource,2,common/djangoapps/student/models/user.py,826-834
UserTestGroup,student,common,UserTestGroup,3,common/djangoapps/student/models/user.py,849-855
Registration,student,common,Registration,3,common/djangoapps/student/models/user.py,858-887
