stratum,django_app,table_name,field_name,django_type,sql_type_inferred,source_file
identity,user_api,UserRetirementPartnerReportingStatus,original_username,CharField,varchar,openedx/core/djangoapps/user_api/models.py
identity,user_api,UserRetirementPartnerReportingStatus,is_being_processed,BooleanField,bool,openedx/core/djangoapps/user_api/models.py
identity,user_api,UserRetirementPartnerReportingStatus,original_email,EmailField,varchar,openedx/core/djangoapps/user_api/models.py
identity,user_api,UserRetirementPartnerReportingStatus,user,OneToOneField,fk,openedx/core/djangoapps/user_api/models.py
identity,student,CourseEnrollmentAttribute,enrollment,ForeignKey,fk,common/djangoapps/student/models/course_enrollment.py
identity,student,CourseEnrollmentAttribute,name,CharField,varchar,common/djangoapps/student/models/course_enrollment.py
identity,student,CourseEnrollmentAttribute,namespace,CharField,varchar,common/djangoapps/student/models/course_enrollment.py
identity,student,CourseEnrollmentAttribute,value,CharField,varchar,common/djangoapps/student/models/course_enrollment.py
identity,student,CourseEnrollment,user,ForeignKey,fk,common/djangoapps/student/models/course_enrollment.py
identity,student,CourseEnrollment,mode,CharField,varchar,common/djangoapps/student/models/course_enrollment.py
identity,student,CourseEnrollment,is_active,BooleanField,bool,common/djangoapps/student/models/course_enrollment.py
identity,student,CourseEnrollment,created,DateTimeField,timestamp,common/djangoapps/student/models/course_enrollment.py
identity,student,EntranceExamConfiguration,skip_entrance_exam,BooleanField,bool,common/djangoapps/student/models/user.py
identity,student,EntranceExamConfiguration,user,ForeignKey,fk,common/djangoapps/student/models/user.py
identity,student,EntranceExamConfiguration,created,DateTimeField,timestamp,common/djangoapps/student/models/user.py
identity,student,EntranceExamConfiguration,updated,DateTimeField,timestamp,common/djangoapps/student/models/user.py
identity,student,CourseAccessRoleHistory,changed_by,ForeignKey,fk,common/djangoapps/student/models/user.py
identity,student,CourseAccessRoleHistory,old_values,JSONField,json,common/djangoapps/student/models/user.py
identity,student,CourseAccessRoleHistory,action_type,CharField,varchar,common/djangoapps/student/models/user.py
identity,student,CourseAccessRoleHistory,role,CharField,varchar,common/djangoapps/student/models/user.py
academic,certificates,CertificateGenerationHistory,course_id,CourseKeyField,varchar,lms/djangoapps/certificates/models.py
academic,certificates,CertificateGenerationHistory,is_regeneration,BooleanField,bool,lms/djangoapps/certificates/models.py
academic,certificates,CertificateGenerationHistory,generated_by,ForeignKey,fk,lms/djangoapps/certificates/models.py
academic,certificates,CertificateGenerationHistory,instructor_task,ForeignKey,fk,lms/djangoapps/certificates/models.py
academic,course_goals,UserActivity,course_key,CourseKeyField,varchar,lms/djangoapps/course_goals/models.py
academic,course_goals,UserActivity,id,BigAutoField,bigint,lms/djangoapps/course_goals/models.py
academic,course_goals,UserActivity,date,DateField,date,lms/djangoapps/course_goals/models.py
academic,course_goals,UserActivity,user,ForeignKey,fk,lms/djangoapps/course_goals/models.py
academic,courseware,OfflineComputedGrade,user,ForeignKey,fk,lms/djangoapps/courseware/models.py
academic,courseware,OfflineComputedGrade,gradeset,TextField,text,lms/djangoapps/courseware/models.py
academic,courseware,OfflineComputedGrade,course_id,CourseKeyField,varchar,lms/djangoapps/courseware/models.py
academic,courseware,OfflineComputedGrade,updated,DateTimeField,timestamp,lms/djangoapps/courseware/models.py
academic,certificates,CertificateInvalidation,notes,TextField,text,lms/djangoapps/certificates/models.py
academic,certificates,CertificateInvalidation,invalidated_by,ForeignKey,fk,lms/djangoapps/certificates/models.py
academic,certificates,CertificateInvalidation,active,BooleanField,bool,lms/djangoapps/certificates/models.py
academic,certificates,CertificateInvalidation,generated_certificate,ForeignKey,fk,lms/djangoapps/certificates/models.py
academic,program_enrollments,ProgramCourseEnrollment,status,CharField,varchar,lms/djangoapps/program_enrollments/models.py
academic,program_enrollments,ProgramCourseEnrollment,course_key,CourseKeyField,varchar,lms/djangoapps/program_enrollments/models.py
academic,program_enrollments,ProgramCourseEnrollment,program_enrollment,ForeignKey,fk,lms/djangoapps/program_enrollments/models.py
academic,program_enrollments,ProgramCourseEnrollment,course_enrollment,ForeignKey,fk,lms/djangoapps/program_enrollments/models.py
content,bulk_email,CourseEmail,from_addr,CharField,varchar,lms/djangoapps/bulk_email/models.py
content,bulk_email,CourseEmail,to_option,CharField,varchar,lms/djangoapps/bulk_email/models.py
content,bulk_email,CourseEmail,targets,ManyToManyField,m2m,lms/djangoapps/bulk_email/models.py
content,bulk_email,CourseEmail,course_id,CourseKeyField,varchar,lms/djangoapps/bulk_email/models.py
content,discussions,DiscussionTopicLink,context_key,LearningContextKeyField,varchar,openedx/core/djangoapps/discussions/models.py
content,discussions,DiscussionTopicLink,group,ForeignKey,fk,openedx/core/djangoapps/discussions/models.py
content,discussions,DiscussionTopicLink,enabled_in_context,BooleanField,bool,openedx/core/djangoapps/discussions/models.py
content,discussions,DiscussionTopicLink,title,CharField,varchar,openedx/core/djangoapps/discussions/models.py
content,teams,CourseTeamMembership,user,ForeignKey,fk,lms/djangoapps/teams/models.py
content,teams,CourseTeamMembership,last_activity_at,DateTimeField,timestamp,lms/djangoapps/teams/models.py
content,teams,CourseTeamMembership,date_joined,DateTimeField,timestamp,lms/djangoapps/teams/models.py
content,teams,CourseTeamMembership,team,ForeignKey,fk,lms/djangoapps/teams/models.py
